HS 1988/92 Product Code,HS 1988/92 Product Description,SIC Product Code,SIC Product Description
030520,"Livers and roes, dried, smoked, salted or in br",2091,Canned and cured seafoods seafoods
030530,"Fish fillets, dried, salted or in brine, but no",2091,Canned and cured seafoods seafoods
030541,"Smoked Pacific, Atlantic and Danube salmon (inc",2091,Canned and cured seafoods seafoods
030542,Smoked herrings (incl. fillets),2091,Canned and cured seafoods seafoods
030549,Smoked fish (excl. salmon and herrings),2091,Canned and cured seafoods seafoods
030551,"Dried cod, not smoked",2091,Canned and cured seafoods seafoods
030559,"Dried fish, not smoked (excl. cod)",2091,Canned and cured seafoods seafoods
030561,Herrings salted or in brine but not dried or sm,2091,Canned and cured seafoods seafoods
030562,Cod salted or in brine but not dried or smoked,2091,Canned and cured seafoods seafoods
030563,Anchovies salted or in brine but not dried or s,2091,Canned and cured seafoods seafoods
030569,Other fish salted or in brine but not dried or,2091,Canned and cured seafoods seafoods
030611,Frozen rock lobster and other sea crawfish,0913,Shellfish
030612,Frozen lobsters,0913,Shellfish
030613,Frozen shrimps and prawns,0913,Shellfish
030614,Frozen crabs,0913,Shellfish
030619,"Frozen crustaceans,nes,including flours,meals &",0913,Shellfish
030621,Rock lobster and other sea crawfish (excl. froz,0913,Shellfish
030622,Lobsters (excl.frozen),0273,Animal aquaculture
030623,Shrimps and prawns (excl. frozen),0913,Shellfish
030624,Crabs (excl.frozen),0913,Shellfish
030629,"Crustaceans not frozen,nes,includ.flours,meals,",0913,Shellfish
030710,Oysters,0273,Animal aquaculture
030721,"Scallops, live, fresh or chilled",0913,Shellfish
030729,"Scallops (excl. live, fresh or chilled)",0913,Shellfish
030731,"Mussels, live, fresh or chilled",0273,Animal aquaculture
030739,"Mussels (excl. live, fresh or chilled)",0913,Shellfish
030741,"Cuttle fish and squid, live, fresh or chilled",0913,Shellfish
030749,"Cuttle fish and squid (excl. live, fresh or chi",0913,Shellfish
030751,"Octopus live, fresh or chilled",0913,Shellfish
030759,"Octopus (excl. live, fresh or chilled)",0913,Shellfish
030760,Snails other than sea snails,0913,Shellfish
030791,"Aquatic invertebrates, nes, live, fresh or chil",0913,Shellfish
030799,"Aquatic invertebrates,nes,includ.flours,meals,p",0913,Shellfish
040110,"Milk and cream of =<1% fat, not concentrated or",2026,"Fluid milk and cream, and related products"
040120,"Milk and cream of >1% but =<6% fat, not concent",2026,"Fluid milk and cream, and related products"
040130,"Milk and cream of >6% fat, not concentrated or",2026,"Fluid milk and cream, and related products"
040210,Milk and cream in solid forms of =<1.5% fat,2023,"Milk and cream, condensed, evaporated, and dry"
040221,"Milk and cream in solid forms of >1.5% fat, uns",2023,"Milk and cream, condensed, evaporated, and dry"
040229,"Milk and cream in solid forms of >1.5% fat, swe",2023,"Milk and cream, condensed, evaporated, and dry"
040291,"Concentrated milk and cream, unsweetened (excl.",2023,"Milk and cream, condensed, evaporated, and dry"
040299,Sweetened milk and cream (excl. in solid form),2023,"Milk and cream, condensed, evaporated, and dry"
040310,Yogurt,2023,"Milk and cream, condensed, evaporated, and dry"
040390,"Buttermilk, curdled milk and cream, etc (excl.",2023,"Milk and cream, condensed, evaporated, and dry"
040410,"Whey & modified whey, concentrated or not, or c",2022,"Cheese, natural and processed"
040490,Products consisting of natural milk constituent,2023,"Milk and cream, condensed, evaporated, and dry"
040500,Butter and other fats and oils derived from mil,2021,Creamery butter
040610,"Fresh (unripened or uncured) cheese, including",2022,"Cheese, natural and processed"
040620,Grated or powdered cheese,2022,"Cheese, natural and processed"
040630,"Processed cheese, not grated or powdered",2022,"Cheese, natural and processed"
040640,Blue-veined cheese,2022,"Cheese, natural and processed"
040690,"Cheese, nes",2022,"Cheese, natural and processed"
040700,"Birds' eggs, in shell, fresh, preserved or cook",0259,"Poultry and eggs, nspf"
040811,Dried egg yolks,2015,"Poultry, nspf, and eggs, prepared or preserved"
040819,Egg yolks (excl. dried),2015,"Poultry, nspf, and eggs, prepared or preserved"
040891,"Dried birds' eggs, not in shell",2015,"Poultry, nspf, and eggs, prepared or preserved"
040899,"Birds' eggs, not in shell (excl. dried)",2015,"Poultry, nspf, and eggs, prepared or preserved"
040900,Natural honey,0279,"Animal specialties, nspf"
041000,"Edible products of animal origin, nes",0919,"Miscellaneous marine products, nspf"
050100,"Human hair and waste, unworked",9900,"Special classification provisions, nspf"
050210,"Pigs', hogs', or boars' bristles or hair",2011,"Meat products and meat packing products, except poultry and small game animals"
050290,Badger and other brush making hair,0279,"Animal specialties, nspf"
050300,Horsehair and waste,9900,"Special classification provisions, nspf"
050400,"Guts, bladders and stomachs of animals (excl. f",2011,"Meat products and meat packing products, except poultry and small game animals"
050510,Raw feathers for stuffing; down,9900,"Special classification provisions, nspf"
050590,Skins and parts of birds (excl. feathers for st,2077,Animal and marine fats and oils
050610,Ossein and bones treated with acid,2011,"Meat products and meat packing products, except poultry and small game animals"
050690,Bones and horn-cores (excl. ossein...),2011,"Meat products and meat packing products, except poultry and small game animals"
050710,"Ivory, its powder and waste, unworked",9900,"Special classification provisions, nspf"
050790,"Tortoise-shell, whalebone and whalebone-hair, e",9900,"Special classification provisions, nspf"
050800,"Coral; shells of molluscs, crustaceans, unworke",0919,"Miscellaneous marine products, nspf"
050900,Natural sponges of animal origin,0919,"Miscellaneous marine products, nspf"
051000,"Ambergris, castoreum, civet and musk; cantharid",0919,"Miscellaneous marine products, nspf"
051110,Bovine semen,0211,Beef cattle
051191,"Products of fish, etc; dead animals of Chapter",2077,Animal and marine fats and oils
051199,"Animal products, nes; dead animals of Chapter 1",0211,Beef cattle
060110,"Dormant bulbs, tubers... rhizomes",0181,Ornamental floriculture and nursery products
060120,"Bulbs, tubers... rhizomes in growth or flower;",0181,Ornamental floriculture and nursery products
060210,Unrooted cuttings and slips,0181,Ornamental floriculture and nursery products
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",0181,Ornamental floriculture and nursery products
060230,Rhododendrons and azaleas,0181,Ornamental floriculture and nursery products
060240,Roses,0181,Ornamental floriculture and nursery products
060291,Mushroom spawn,0182,Mushrooms
060299,"Other live plants, nes",0181,Ornamental floriculture and nursery products
060310,Fresh cut flowers and buds,0181,Ornamental floriculture and nursery products
060390,"Dried, dyed, bleached or otherwise prepared cut",0181,Ornamental floriculture and nursery products
060410,"Moses and lichens for ornamental purposes, fres",0831,"Forestry products, nspf"
060491,"Fresh parts of plants, without flowers or buds,",0181,Ornamental floriculture and nursery products
060499,"Parts of plants, without flowers or buds, for o",0811,Timber tracts (including christmas tree growing)
070110,Seed potatoes,0134,"Potatoes, white or irish"
070190,"Other potatoes, fresh or chilled",0134,"Potatoes, white or irish"
070200,"Tomatoes, fresh or chilled",0161,Vegetables and melons
070310,"Onions and shallots, fresh or chilled",0161,Vegetables and melons
070320,"Garlic, fresh or chilled",0161,Vegetables and melons
070390,"Leeks and other alliaceous vegetables, nes",0161,Vegetables and melons
070410,"Cauliflowers and headed broccoli, fresh or chil",0161,Vegetables and melons
070420,"Brussels sprouts, fresh or chilled",0161,Vegetables and melons
070490,"White and red cabbages, kohlrabi, kale...etc, f",0161,Vegetables and melons
070511,"Cabbage lettuce, fresh or chilled",0161,Vegetables and melons
070519,"Lettuce, fresh or chilled, (excl. cabbage lettu",0161,Vegetables and melons
070521,"Witloof chicory, fresh or chilled",0161,Vegetables and melons
070529,"Chicory, fresh or chilled, (excl. witloof)",0161,Vegetables and melons
070610,"Carrots and turnips, fresh or chilled",0161,Vegetables and melons
070690,Beetroot...radishes and other similar edible ro,0161,Vegetables and melons
070700,"Cucumbers and gherkins, fresh or chilled",0161,Vegetables and melons
070810,"Peas, fresh or chilled",0161,Vegetables and melons
070820,"Beans, fresh or chilled",0119,"Cash grains, nspf"
070890,"Leguminous vegetables, fresh or chilled, nes",0119,"Cash grains, nspf"
070910,"Globe artichokes, fresh or chilled",0161,Vegetables and melons
070920,"Asparagus, fresh or chilled",0161,Vegetables and melons
070930,"Aubergines, fresh or chilled",0161,Vegetables and melons
070940,"Celery, fresh or chilled",0161,Vegetables and melons
070951,"Mushrooms, fresh or chilled",0182,Mushrooms
070952,"Truffles, fresh or chilled",0182,Mushrooms
070960,"Fruits of genus Capiscum or Pimenta, fresh or c",0161,Vegetables and melons
070970,"Spinach, fresh or chilled",0161,Vegetables and melons
070990,"Other vegetables, fresh or chilled, nes",0161,Vegetables and melons
071010,"Potatoes, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071021,"Shelled or unshelled peas, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071022,"Shelled or unshelled beans, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071029,"Leguminous vegetables, shelled or unshelled, fr",2037,"Frozen fruits, fruit juices, and vegetables"
071030,"Spinach, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071040,"Sweet corn, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071080,"Vegetables, frozen, nes",2037,"Frozen fruits, fruit juices, and vegetables"
071090,"Mixtures of vegetables, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
071110,"Onions provisionally preserved, not for immedia",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
071120,"Olives provisionally preserved, not for immedia",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
071130,"Capers provisionally preserved, not for immedia",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
071140,Cucumbers and gherkins provisionally preserved,2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
071190,Other vegetables and  mixture of vegetables pro,2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
071210,Dried potatoes,2034,"Food products, dried and dehydrated"
071220,Dried onions,2034,"Food products, dried and dehydrated"
071230,Dried mushrooms and truffles,2034,"Food products, dried and dehydrated"
071290,"Dried vegetables, nes",0181,Ornamental floriculture and nursery products
071310,"Dried peas, shelled",0119,"Cash grains, nspf"
071320,"Dried chickpeas, shelled",0119,"Cash grains, nspf"
071331,"Dried beans, shelled",0119,"Cash grains, nspf"
071332,"Dried adzuki beans, shelled",0119,"Cash grains, nspf"
071333,"Dried kidney beans, incl. white pea beans, shel",0119,"Cash grains, nspf"
071339,"Dried beans, shelled, nes",0119,"Cash grains, nspf"
071340,"Dried lentils, shelled",0119,"Cash grains, nspf"
071350,"Dried broad beans and horse beans, shelled",0119,"Cash grains, nspf"
071390,"Dried leguminous vegetables, shelled, nes",0119,"Cash grains, nspf"
071410,"Manioc, fresh or dried",0139,"Field crops, except cash grains, nspf"
071420,"Sweet potatoes, fresh or dried",0139,"Field crops, except cash grains, nspf"
071490,"Roots and tubers with high starch content, fres",0139,"Field crops, except cash grains, nspf"
080110,"Coconuts, fresh or dried",0179,"Fruits and tree nuts, nspf"
080120,"Brazil nuts, fresh or dried",0173,Tree nuts
080130,"Cashew nuts, fresh or dried",2068,Salted and roasted nuts
080211,"Almonds in shell, fresh or dried",0173,Tree nuts
080212,"Almonds without shells, fresh or dried",2068,Salted and roasted nuts
080221,"Hazlenuts in shell, fresh or dried",0173,Tree nuts
080222,"Hazlenuts without shells, fresh or dried",2068,Salted and roasted nuts
080231,"Walnuts in shell, fresh or dried",0173,Tree nuts
080232,"Walnuts without shells, fresh or dried",2068,Salted and roasted nuts
080240,"Chestnuts, fresh or dried",2068,Salted and roasted nuts
080250,"Pistachio, fresh or dried",0173,Tree nuts
080290,"Other nuts, fresh or dried, nes",0173,Tree nuts
080300,"Bananas, including plantains, fresh or dried",0179,"Fruits and tree nuts, nspf"
080410,"Dates, fresh or dried",2034,"Food products, dried and dehydrated"
080420,"Figs, fresh or dried",2034,"Food products, dried and dehydrated"
080430,"Pineapples, fresh or dried",0179,"Fruits and tree nuts, nspf"
080440,"Avocados, fresh or dried",0179,"Fruits and tree nuts, nspf"
080450,"Guavas, mangoes and mangosteens, fresh or dried",0179,"Fruits and tree nuts, nspf"
080510,"Oranges, fresh or dried",0174,Citrus fruits
080520,"Mandarins, clementines, wilkings...etc, fresh o",0174,Citrus fruits
080530,"Lemons and limes, fresh or dried",0174,Citrus fruits
080540,"Grapefruit, fresh or dried",0174,Citrus fruits
080590,"Citrus fruit, fresh or dried, nes",0174,Citrus fruits
080610,Fresh grapes,0172,Grapes
080620,Dried grapes,2034,"Food products, dried and dehydrated"
080710,"Melons and watermelons, fresh",0161,Vegetables and melons
080720,"Papaws (papayas), fresh",0179,"Fruits and tree nuts, nspf"
080810,"Apples, fresh",0175,Deciduous tree fruits
080820,"Pears and quinces, fresh",0175,Deciduous tree fruits
080910,"Apricots, fresh",0175,Deciduous tree fruits
080920,"Cherries, fresh",0175,Deciduous tree fruits
080930,"Peaches, including nectarines, fresh",0175,Deciduous tree fruits
080940,"Plums and sloes, fresh",0175,Deciduous tree fruits
081010,"Strawberries, fresh",0171,Berry crops
081020,"Raspberries, blackberries, mulberries and logan",0171,Berry crops
081030,"Black, white or red currants and gooseberries,",0171,Berry crops
081040,"Cranberries, milberries...etc, fresh",0171,Berry crops
081090,"Other fruit, fresh, nes",0171,Berry crops
081110,"Strawberries, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
081120,"Raspberries, blackberries...etc, frozen",2037,"Frozen fruits, fruit juices, and vegetables"
081190,"Other fruit and nuts, frozen, nes",2037,"Frozen fruits, fruit juices, and vegetables"
081210,"Cherries, provisionally preserved, not for imme",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
081220,"Strawberries, provisionally preserved, not for",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
081290,"Fruit and nuts, provisionally preserved, not fo",2035,"Pickled fruits and veg, veg sauces and seasonings, and salad dressings"
081310,Dried apricots,2034,"Food products, dried and dehydrated"
081320,Dried prunes,2034,"Food products, dried and dehydrated"
081330,Dried apples,2034,"Food products, dried and dehydrated"
081340,"Other dried fruit, nes",2034,"Food products, dried and dehydrated"
081350,"Mixtures of dried fruit and nuts, nes",2034,"Food products, dried and dehydrated"
081400,"Peel of citrus fruit or melons, fresh, frozen,",2034,"Food products, dried and dehydrated"
090111,"Coffee, not roasted or decaffeinated",0179,"Fruits and tree nuts, nspf"
090112,"Decaffeinated coffee, not roasted",0179,"Fruits and tree nuts, nspf"
090121,"Roasted coffee, not decaffeinated",2095,Roasted coffee
090122,"Roasted, decaffeinated coffee",2095,Roasted coffee
090130,Coffee husks and skins,9100,Scrap and waste
090140,Coffee substitutes containing coffee,2095,Roasted coffee
090210,Green tea in immediate packings,2099,"Food preparations, nspf"
090220,"Green tea, nes",2099,"Food preparations, nspf"
090230,Black tea (fermented) and partly fermented tea,2099,"Food preparations, nspf"
090240,"Black tea (fermented) and partly fermented tea,",2099,"Food preparations, nspf"
090300,Mate,2099,"Food preparations, nspf"
090411,Dried pepper (excl. crushed or ground),2099,"Food preparations, nspf"
090412,"Pepper, crushed or ground",2099,"Food preparations, nspf"
090420,"Fruits of genus Capiscum or Pimenta, dried, cru",2099,"Food preparations, nspf"
090500,Vanilla,0179,"Fruits and tree nuts, nspf"
090610,"Cinnamon and cinnamon-tree flowers, neither cru",0181,Ornamental floriculture and nursery products
090620,"Cinnamon and cinnamon-tree flowers, crushed or",2099,"Food preparations, nspf"
090700,"Cloves (whole fruit, cloves and stems)",2099,"Food preparations, nspf"
090810,Nutmeg,2099,"Food preparations, nspf"
090820,Mace,2099,"Food preparations, nspf"
090830,Cardamoms,2099,"Food preparations, nspf"
090910,Seeds of anise or badian,2099,"Food preparations, nspf"
090920,Seeds of coriander,2099,"Food preparations, nspf"
090930,Seeds of cumin,2099,"Food preparations, nspf"
090940,Seeds of caraway,2099,"Food preparations, nspf"
090950,Seeds of fennel; juniper berries,2099,"Food preparations, nspf"
091010,Ginger,2099,"Food preparations, nspf"
091020,Saffron,2099,"Food preparations, nspf"
091030,Turmeric (curcuma),2099,"Food preparations, nspf"
091040,"Thyme, bay leaves",0181,Ornamental floriculture and nursery products
091050,Curry,2099,"Food preparations, nspf"
091091,Spice mixtures,2099,"Food preparations, nspf"
091099,"Other spices, nes",0181,Ornamental floriculture and nursery products
100110,Durum wheat,0111,Wheat
100190,"Spelt, common wheat and meslin",0111,Wheat
100200,Rye,0119,"Cash grains, nspf"
100300,Barley,0119,"Cash grains, nspf"
100400,Oats,0119,"Cash grains, nspf"
100510,Maize seed,0115,Corn
100590,Maize (excl. seed),0115,Corn
100610,Rice in the husk (paddy or rough),0112,Rice
100620,Husked (brown) rice,2044,Milled rice and byproducts
100630,Semi-milled or wholly milled rice,2044,Milled rice and byproducts
100640,Broken rice,2044,Milled rice and byproducts
100700,Grain sorghum,0119,"Cash grains, nspf"
100810,Buckwheat,0119,"Cash grains, nspf"
100820,Millet,0119,"Cash grains, nspf"
100830,Canary seed,0119,"Cash grains, nspf"
100890,"Other cereal, nes",0119,"Cash grains, nspf"
110100,Wheat or meslin flour,2041,Flour and other grain mill products
110210,Rye flour,2041,Flour and other grain mill products
110220,Maize (corn) flour,2041,Flour and other grain mill products
110230,Rice flour,2044,Milled rice and byproducts
110290,"Other cereal flour, nes",2041,Flour and other grain mill products
110311,Groats and meal of wheat,2041,Flour and other grain mill products
110312,Groats and meal of oats,2041,Flour and other grain mill products
110313,Groats and meal of maize (corn),2041,Flour and other grain mill products
110314,Groats and meal of rice,2044,Milled rice and byproducts
110319,"Groats and meal of other cereals, nes",2041,Flour and other grain mill products
110321,Wheat pellets,2041,Flour and other grain mill products
110329,Pellets of other cereals (excl. wheat),2041,Flour and other grain mill products
110411,Rolled or flaked barley grains,2043,Cereal breakfast foods
110412,Rolled or flaked oat grains,2043,Cereal breakfast foods
110419,"Rolled or flaked grains of other cereals, nes",2043,Cereal breakfast foods
110421,"Other worked grains of barley, nes",2043,Cereal breakfast foods
110422,"Other worked grains of oats, nes",2043,Cereal breakfast foods
110423,"Other worked grains of maize (corn), nes",2043,Cereal breakfast foods
110429,"Other worked grains of other cereals, nes",2043,Cereal breakfast foods
110430,"Cereal germ, whole, rolled, flaked or ground",2043,Cereal breakfast foods
110510,Potato flour and meal,2034,"Food products, dried and dehydrated"
110520,"Potato flakes, granules and pellets",2034,"Food products, dried and dehydrated"
110610,Flour and meal of the dried leguminous vegetabl,2034,"Food products, dried and dehydrated"
110620,"Flour and meal of sago, roots or tubers of 0714",2034,"Food products, dried and dehydrated"
110630,"Flour, meal and powder of products of Chapter 8",2034,"Food products, dried and dehydrated"
110710,Malt not roasted,2083,Malt
110720,Roasted malt,2083,Malt
110811,Wheat starch,2046,Wet corn milling products
110812,Maize (corn) starch,2046,Wet corn milling products
110813,Potato starch,2046,Wet corn milling products
110814,Manioc (cassava) starch,2046,Wet corn milling products
110819,"Other starches, nes",2046,Wet corn milling products
110820,Inulin,2834,Pharmaceutical preparations
110900,Wheat gluten,2046,Wet corn milling products
120100,Soya beans,0116,Soybeans
120210,"Ground-nuts in shell, not roasted or otherwise",0139,"Field crops, except cash grains, nspf"
120220,"Shelled ground-nuts, not roasted or otherwise c",0139,"Field crops, except cash grains, nspf"
120300,Copra,0173,Tree nuts
120400,Linseed,0119,"Cash grains, nspf"
120500,Rape or colza seeds,0139,"Field crops, except cash grains, nspf"
120600,Sunflower seeds,0119,"Cash grains, nspf"
